X,avg_log2FC,pct.1,pct.2,p_val_adj
Prickle1,0.100028736,0.999,0.996,5.10969E-06
Prickle2,-0.056394866,0.992,0.995,1
Prickle3,-1.53777478,0.001,0.003,1
Prickle4,-0.075594148,0.071,0.068,1
Prim1,0.280169412,0.049,0.036,1
Prim2,0.00209893,0.231,0.246,1
Prima1,0.777508015,0.005,0.004,1
Primpol,-0.030965067,0.086,0.094,1
Prkaa1,0.077121307,0.188,0.195,1
Prkaa2,-0.066646163,0.631,0.678,1
Prkab1,0.10466678,0.046,0.042,1
Prkab2,-0.032530023,0.598,0.619,1
Prkaca,-0.065747125,0.436,0.466,1
Prkacb,-0.107528817,0.706,0.757,1
Prkag1,0.210971977,0.489,0.455,1
Prkag2,0.349276768,0.942,0.927,3.04571E-30
Prkag2os1,0.299639545,0.058,0.053,1
Prkag2os2,-0.624717344,0.005,0.006,1
Prkag3,0,0,0,1
Prkar1a,-0.211719264,0.525,0.591,0.002231294
Prkar1b,0.272278031,0.842,0.834,4.95282E-15
Prkar2a,0.004669501,0.517,0.522,1
Prkar2b,-0.070188856,0.457,0.501,1
Prkca,0.085942297,0.913,0.926,1
Prkcb,0.028512485,0.997,0.998,1
Prkcd,0.150809386,0.001,0,1
Prkce,0.171097449,0.996,0.997,1.12657E-20
Prkcg,0.201647823,0.927,0.929,1.06966E-08
Prkch,-0.183754889,0.012,0.015,1
Prkci,0.014761641,0.335,0.345,1
Prkcq,-0.963138683,0.006,0.011,1
Prkcsh,-0.053045773,0.213,0.234,1
Prkcz,0.260022912,0.842,0.821,2.67363E-11
Prkd1,-0.206304239,0.156,0.187,1
Prkd2,0.13724514,0.115,0.118,1
Prkd3,-2.162339627,0.005,0.009,1
Prkdc,-0.0853793,0.504,0.55,1
Prkg1,0.012239552,0.079,0.084,1
Prkg2,-0.407302582,0.045,0.063,1
Prkn,0.136977757,0.967,0.967,3.577E-05
Prkra,0.297072421,0.087,0.074,1
Prkrip1,-0.042621855,0.19,0.204,1
Prkx,-0.108573111,0.303,0.338,1
Prl,0,0,0,1
Prl2a1,0,0,0,1
Prl2b1,0,0,0,1
Prl2c1,0,0,0,1
Prl2c2,0,0,0,1
Prl2c3,0,0,0,1
Prl2c5,0,0,0,1
Prl3a1,0,0,0,1
Prl3b1,0,0,0,1
Prl3c1,0,0,0,1
Prl3d1,0,0,0,1
Prl3d2,0,0,0,1
Prl3d3,0,0,0,1
Prl4a1,0,0,0,1
Prl5a1,-0.802727026,0.002,0.002,1
Prl6a1,0,0,0,1
Prl7a1,0,0,0,1
Prl7a2,0,0,0,1
Prl7b1,0,0,0,1
Prl7c1,0,0,0,1
Prl7d1,0,0,0,1
Prl8a1,-2.249841201,0,0.002,1
Prl8a2,0,0,0,1
Prl8a6,0.338144161,0.001,0,1
Prl8a8,0,0,0,1
Prl8a9,0,0,0,1
Prlh,0,0,0,1
Prlhr,0,0,0,1
Prlr,0.791791399,0.01,0.007,1
Prm1,-0.57763484,0.002,0.004,1
Prm2,0,0,0,1
Prm3,0,0,0,1
Prmt1,0.15820905,0.257,0.233,1
Prmt2,0.063542356,0.281,0.273,1
Prmt3,0.005586884,0.242,0.257,1
Prmt5,-0.083343599,0.199,0.219,1
Prmt6,0.12232904,0.037,0.041,1
Prmt7,0.18509525,0.451,0.429,1
Prmt8,-0.202318733,0.499,0.572,0.050968249
Prmt9,-0.185029763,0.325,0.375,1
Prn,0,0,0,1
Prnd,0.043182755,0.005,0.006,1
Prnp,0.107410571,0.599,0.605,1
Prob1,-1.386063897,0.002,0.006,1
Proc,-0.605863592,0.004,0.006,1
Proca1,0.244013729,0.158,0.132,1
Procr,-0.34416554,0.003,0.002,1
Prodh,-0.02037081,0.209,0.228,1
Prodh2,0,0,0,1
Prok1,1.228953375,0.005,0.003,1
Prok2,-0.321940138,0.006,0.006,1
Prokr1,0,0,0,1
Prokr2,-0.440097593,0.005,0.005,1
Prol1,0,0,0,1
Prom1,-1.702127187,0.001,0.004,1
Prom2,-0.629387539,0.005,0.006,1
Prop1,-1.2888739,0.001,0.002,1
Prorp,0.383954002,0.136,0.115,1
Prorsd1,-0.001893764,0.053,0.059,1
Pros1,0.004941452,0.104,0.097,1
Proscos,-0.14945154,0.004,0.008,1
Proser1,0.096245731,0.482,0.484,1
Proser2,-0.35070589,0.012,0.008,1
Proser3,0.662592492,0.034,0.022,1
Prox1,-0.502756943,0.001,0.002,1
Prox1os,0,0,0,1
Prox2,-0.129098026,0.184,0.21,1
Prox2os,-0.50774977,0.024,0.034,1
Proz,-0.032009417,0.016,0.016,1
Prp2,0,0,0,1
Prpf18,-0.095314716,0.472,0.506,1
Prpf19,0.018816902,0.263,0.27,1
Prpf3,0.039680259,0.318,0.336,1
Prpf31,-0.074562266,0.292,0.314,1
Prpf38a,-0.107415395,0.217,0.243,1
Prpf38b,-0.233908931,0.396,0.46,0.019161638
Prpf39,-0.285950159,0.656,0.739,3.66815E-12
Prpf4,0.202765382,0.15,0.141,1
Prpf40a,-0.063885832,0.742,0.766,1
Prpf40b,-0.025291351,0.4,0.432,1
Prpf4b,-0.372891179,0.898,0.952,1.47148E-45
Prpf6,0.113337401,0.58,0.587,1
Prpf8,0.168602265,0.262,0.239,1
Prph,0,0,0,1
Prph2,-0.353216768,0.004,0.004,1
Prps1,0.039498737,0.079,0.076,1
Prps1l1,0,0,0,1
Prps1l3,-0.867695943,0.01,0.017,1
Prps2,0.018613694,0.131,0.136,1
Prpsap1,0.066703626,0.252,0.251,1
Prpsap2,0.156995978,0.186,0.179,1
Prr11,-0.282585522,0.005,0.003,1
Prr12,0.220489837,0.16,0.144,1
Prr13,-0.000772884,0.059,0.065,1
Prr14,0.194403365,0.434,0.41,1
Prr14l,0.234210563,0.768,0.741,0.00685406
Prr15,0.021637362,0.016,0.017,1
Prr15l,1.347904662,0.002,0,1
Prr16,-0.128181108,0.946,0.97,0.000216611
Prr18,0.871892607,0.006,0.004,1
Prr19,0,0,0,1
Prr22,-0.016411564,0.012,0.012,1
Prr23a1,0,0,0,1
Prr23a2,0,0,0,1
Prr23a3,0,0,0,1
Prr27,-1.127988257,0.004,0.007,1
Prr29,0,0,0,1
Prr3,0.008528091,0.323,0.348,1
Prr30,0,0,0,1
Prr32,-0.79094659,0.001,0.002,1
Prr33,0,0,0,1
Prr36,0.877782622,0.017,0.011,1
Prr5,-0.471228048,0.005,0.006,1
Prr5l,0.0412538,0.014,0.019,1
Prr7,0.01388538,0.278,0.289,1
Prr9,0,0,0,1
Prrc1,0.2353058,0.305,0.278,1
Prrc2a,-0.088053477,0.199,0.219,1
Prrc2b,0.214270498,0.595,0.567,1
Prrc2c,-0.169934437,0.775,0.849,1.4601E-05
Prrg1,-0.38217118,0.132,0.179,0.040415111
Prrg2,0.135672007,0.054,0.057,1
Prrg3,-0.427369985,0.059,0.085,1
Prrg4,0.226650908,0.033,0.035,1
Prrt1,-0.175258422,0.44,0.505,0.027758094
Prrt2,0.161541456,0.037,0.033,1
Prrt3,0.101103201,0.161,0.161,1
Prrt4,0,0,0,1
Prrx1,-0.894984342,0.002,0.003,1
Prrx2,-0.245071424,0.011,0.013,1
Prrxl1,0.24796201,0.001,0,1
Prss1,0,0,0,1
Prss12,0.066480552,0.491,0.484,1
Prss16,-0.495957326,0.002,0.002,1
Prss2,0,0,0,1
Prss21,0,0,0,1
Prss22,-1.02783134,0.001,0.004,1
Prss23,-0.143285191,0.043,0.049,1
Prss23os,-0.374910938,0.004,0.004,1
Prss27,0.035907723,0.025,0.024,1
Prss28,0,0,0,1
Prss29,0,0,0,1
Prss3,0,0,0,1
Prss30,0,0,0,1
Prss32,-1.978751502,0,0.002,1
Prss33,0,0,0,1
Prss34,0,0,0,1
Prss35,-0.065395668,0.116,0.127,1
Prss36,0.320824355,0.218,0.196,1
Prss37,0,0,0,1
Prss38,0.470159774,0.001,0,1
Prss39,0,0,0,1
Prss40,0,0,0,1
Prss41,-2.720693047,0,0.003,1
Prss42,0,0,0,1
Prss43,0,0,0,1
Prss44,0,0,0,1
Prss45,0.102125027,0.002,0.003,1
Prss46,-1.227053224,0.001,0.003,1
Prss47,0.44937764,0.001,0,1
Prss48,0.189071902,0.018,0.017,1
Prss50,0,0,0,1
Prss51,-0.672907469,0.01,0.01,1
Prss52,-1.151657642,0.016,0.033,0.389609219
Prss53,0.224647139,0.01,0.009,1
Prss54,0.526124557,0.012,0.009,1
Prss55,-0.882410986,0.003,0.006,1
Prss56,-2.07426627,0.001,0.003,1
Prss57,-0.490989228,0.005,0.007,1
Prss58,0,0,0,1
Prss8,0.321027938,0.008,0.006,1
Prtg,-0.015422875,0.093,0.089,1
Prtn3,0.624369777,0.044,0.032,1
Prune1,0.201338367,0.212,0.183,1
Prune2,0.012275533,0.32,0.324,1
Prx,-0.478817155,0.038,0.051,1
Prxl2a,0.081129764,0.19,0.2,1
Prxl2b,0.033515267,0.059,0.061,1
Prxl2c,-0.028540048,0.454,0.475,1
Psap,0.089699249,0.72,0.731,1
Psapl1,-0.200279026,0.005,0.006,1
Psat1,0.048251462,0.028,0.029,1
Psca,-2.384164236,0.001,0.005,1
Psd,0.040226054,0.513,0.534,1
Psd2,-0.55384281,0.02,0.031,1
Psd3,-0.141460285,0.974,0.985,7.00913E-08
Psd4,0.871932714,0.001,0,1
Psen1,0.179689728,0.476,0.45,1
Psen2,0.052447558,0.128,0.131,1
Psenen,0.02662094,0.166,0.179,1
Psg16,0.32025373,0.014,0.012,1
Psg17,0.829443468,0.001,0,1
Psg18,0,0,0,1
Psg19,0,0,0,1
Psg20,0,0,0,1
Psg21,0,0,0,1
Psg22,0,0,0,1
Psg23,0,0,0,1
Psg25,0,0,0,1
Psg26,0,0,0,1
Psg27,0,0,0,1
Psg28,0,0,0,1
Psg29,0,0,0,1
Psip1,-0.059414041,0.866,0.885,1
Pskh1,0.309532437,0.243,0.202,1
Psma1,-0.093225999,0.83,0.877,1
Psma2,0.048970735,0.374,0.397,1
Psma3,0.021793185,0.921,0.936,1
Psma4,-0.131210388,0.18,0.214,1
Psma5,0.146202992,0.4,0.398,1
Psma6,0.352957001,0.219,0.185,1
Psma7,0.056115289,0.382,0.388,1
Psma8,0.56861298,0.006,0.005,1
Psmb1,0.141398634,0.411,0.392,1
Psmb10,0.017558261,0.046,0.05,1
Psmb11,0.300097094,0.006,0.005,1
Psmb2,0.022346834,0.713,0.728,1
Psmb3,0.280703641,0.309,0.276,1
Psmb4,0.032135975,0.127,0.132,1
Psmb5,0.16121251,0.159,0.147,1
Psmb6,0.103344171,0.13,0.137,1
Psmb7,-0.028201369,0.326,0.351,1
Psmb8,0,0,0,1
Psmb9,0.483477441,0.001,0,1
Psmc1,0.027690727,0.569,0.569,1
Psmc2,0.024488428,0.305,0.308,1
Psmc3,-0.29492056,0.366,0.436,0.000458726
Psmc3ip,-0.435384402,0.023,0.035,1
Psmc4,0.100414243,0.257,0.248,1
Psmc5,0.100130107,0.345,0.345,1
Psmc6,-0.097089138,0.815,0.861,1
Psmd1,0.186203904,0.747,0.736,0.046795205
Psmd10,0.143506709,0.025,0.024,1
Psmd11,0.067786702,0.78,0.789,1
Psmd12,-0.025237309,0.454,0.489,1
Psmd13,0.143415763,0.471,0.444,1
Psmd14,-0.089576826,0.798,0.844,1
Psmd2,-0.346009151,0.208,0.27,0.003493153
Psmd3,0.280127167,0.323,0.285,1
Psmd4,-0.115949442,0.702,0.745,1
Psmd5,0.054907907,0.29,0.297,1
Psmd6,-0.062371064,0.289,0.307,1
Psmd7,0.071084704,0.77,0.782,1
Psmd8,-0.140434388,0.172,0.189,1
Psmd9,0.196387378,0.537,0.516,1
Psme1,-0.047129387,0.046,0.049,1
Psme2,0.375532532,0.072,0.055,1
Psme2b,0,0,0,1
Psme3,-0.047939062,0.089,0.099,1
Psme4,-0.044287548,0.897,0.924,1
Psmf1,0.204491839,0.3,0.264,1
Psmg1,0.036170967,0.08,0.082,1
Psmg2,0.003193979,0.222,0.221,1
Psmg3,0.000421732,0.074,0.093,1
Psmg4,-0.052746768,0.055,0.06,1
Psors1c2,-0.12221972,0.002,0.003,1
