X,avg_log2FC,pct.1,pct.2,p_val_adj
Tcf7l1,0.609604761,0.016,0.013,1
Furin,0.625442701,0.123,0.098,1
Gdpd4,-0.08930928,0.001,0.003,1
Carhsp1,0.93978686,0.025,0.021,1
Cxcl16,0.491709684,0.005,0.004,1
Flvcr2,0.155656486,0.016,0.021,1
Xist,6.739945153,0.578,0.096,7.4394E-154
Gapdh,0.069144266,0.343,0.38,1
Ptpn20,-0.015816445,0.01,0.011,1
Esrp1,-0.370657633,0.005,0.009,1
Fam177a,0.72676556,0.005,0.003,1
Grip1,0.998523908,0.972,0.933,1.67331E-76
Slc22a3,0.333960189,0.001,0.002,1
Dchs1,0.354165292,0.025,0.025,1
Asb12,0.868899152,0.016,0.01,1
Col9a1,-0.52697292,0.007,0.013,1
Pcdha8,0.128332253,0.006,0.011,1
Olfr1366,0.520973729,0.005,0.006,1
Abhd2,1.002270161,0.835,0.725,1.29329E-51
Dscaml1,-0.288236764,0.93,0.995,7.27545E-19
Trim75,0.093343446,0.005,0.004,1
Pklr,1.627241851,0.008,0.002,1
F2rl2,-0.038403348,0.095,0.093,1
Commd5,1.652804672,0.006,0.003,1
Rapgef4,1.397104741,0.996,0.987,6.3827E-221
Zscan2,1.527134462,0.111,0.045,3.75301E-05
Itprid2,0.661852062,0.433,0.338,0.001348146
Rhbdl3,-0.588149508,0.5,0.737,2.16617E-24
Aspm,-0.160198504,0.008,0.014,1
Bsdc1,0.960921282,0.411,0.281,1.6238E-08
Tbc1d12,0.374907037,0.586,0.539,1
Arhgap4,0.027024254,0.082,0.09,1
Asap3,1.15841339,0.183,0.116,0.051432177
Thrsp,-0.620154888,0.027,0.043,1
Vmn1r197,1.243847361,0.004,0.001,1
Crip3,0.159910949,0.014,0.013,1
Marveld2,-0.512044327,0.018,0.022,1
Armc5,-0.354922763,0.023,0.031,1
Qser1,0.982473573,0.63,0.459,4.69819E-24
Ccna1,-1.186821265,0.001,0.007,1
Ptchd3,0,0,0,1
Kif26b,1.415776352,0.49,0.35,5.98266E-16
Kcnab2,0.569370851,0.548,0.5,0.115507698
Marveld1,-0.738133187,0.027,0.051,1
Iqca1l,2.456371425,0.011,0.005,1
Proc,0.485062306,0.001,0.001,1
Arih1,0.492045107,0.955,0.946,2.93928E-34
Bmp6,-0.72651915,0.014,0.026,1
Wscd2,0.709368931,0.623,0.577,0.000107688
Nppa,-0.33662475,0.011,0.016,1
S100g,0.692233267,0.005,0.003,1
Pter,-1.725272445,0.031,0.135,2.89817E-11
Socs1,2.048215375,0.008,0.003,1
Upf1,0.56089156,0.258,0.198,1
Tpm3-rs7,1.043007624,0.006,0.002,1
Neil3,0.249976769,0.002,0.001,1
Plekha4,0.210578635,0.029,0.028,1
Tph1,0.589921119,0.001,0.001,1
Htt,1.223922803,0.92,0.793,6.9679E-104
Meis3,0.491533942,0.265,0.214,1
Kmt2d,0.608910771,0.319,0.288,1
Perp,-0.223184877,0.011,0.015,1
Arg1,0.128815266,0.016,0.02,1
Cngb1,-0.767744805,0,0.003,1
Gckr,1.537656323,0.002,0.001,1
Pheta2,-0.977572265,0.001,0.004,1
Mir155hg,-0.219477645,0.018,0.022,1
Palm,0.133032088,0.633,0.64,1
Ccdc7a,0.047524727,0.066,0.068,1
Mfsd5,0.072126328,0.011,0.014,1
Afap1l2,-0.812198939,0.008,0.013,1
Abca9,1.503480702,0.067,0.028,0.129497237
Olfr111,0.340055184,0.004,0.003,1
Uaca,1.131490024,0.01,0.004,1
Vmn2r112,0.308121127,0.025,0.025,1
Lipe,-0.408912264,0.292,0.381,0.492569651
Itpkc,2.944662287,0.395,0.087,1.07424E-69
Dspp,2.268523847,0.004,0.002,1
Tnfaip6,1.191597801,0.007,0.004,1
Spop,1.080561395,0.88,0.808,2.68412E-54
Xlr3a,1.453972076,0.005,0.003,1
Zfp287,0.786786521,0.327,0.247,0.050259661
Nlrp9b,0.193983484,0.001,0.001,1
Zfp992,0.198974354,0.029,0.03,1
Slc13a1,1.577326998,0.047,0.013,0.016728894
Olfr588-ps1,0.525295693,0.004,0.004,1
Prkag2os2,-0.978810916,0.006,0.011,1
Pdzk1,-0.452916015,0.058,0.084,1
Slc12a9,0.193673676,0.242,0.253,1
Csf2ra,0.2849273,0.445,0.439,1
Olfr414,-1.055409098,0.001,0.004,1
Vmn1r84,1.097638451,0.002,0.001,1
Foxn1,0.612490788,0.001,0.001,1
Inpp5d,0.729359389,0.016,0.018,1
Vmn1r46,-0.408311458,0.001,0.004,1
Prdm16,-0.629163759,0.01,0.016,1
Ahdc1,1.034932533,0.498,0.347,2.92577E-14
Myo1d,1.393329486,0.833,0.735,1.3133E-63
Prom2,3.734311312,0.033,0.002,3.24243E-05
Lama1,-0.217940538,0.018,0.026,1
Gabarapl2,-0.122072408,0.576,0.644,1
Lhx5,-0.115919928,0.002,0.004,1
Arx,0.285214881,0.001,0.001,1
Gcc1,0.410094027,0.051,0.052,1
Selp,0,0,0,1
Pdgfra,1.590183604,0.002,0.001,1
Eif6,0.849794696,0.078,0.052,1
Bcas3os1,-0.628532924,0.181,0.251,1
Plin1,0.977157957,0.002,0.001,1
