X,SCI,IC
Fam205c,-0.002921422,-1.310520048
Hs3st1,0.06245009,-1.307734472
Stap1,-0.312809936,-1.306658673
Ahi1,-0.188896439,-1.304822388
Scn1a,-0.188509111,-1.303464674
Slc2a6,-0.06918588,-1.303159422
Sidt1,-0.076711387,-1.302939572
Sptssb,-0.112983006,-1.302474588
Cdk14,-0.087087731,-1.300885778
P2ry14,0.030788531,-1.300432153
Efcab6,-0.100741144,-1.300151687
Myo5b,-0.195477347,-1.299493915
Gabra1,-0.040358568,-1.297565543
Lin7a,0.027699215,-1.296040573
Arpp21,-0.22607096,-1.293644949
Usp46os1,-0.028249413,-1.291952322
Ntn4,-0.044470648,-1.289904218
Camk1g,0.147444714,-1.285134881
Luzp2,-0.537633828,-1.282864031
Ccdc134,0.108792241,-1.279518935
Nrg3os,0.015799182,-1.278942802
Gfra2,0.015947156,-1.272845138
Gabrd,0.060020767,-1.270712441
Mctp1,-0.275517195,-1.264496401
Taf7l,-0.268696118,-1.26356135
Cnksr2,-0.341236413,-1.263451027
Rnf144b,0.058814473,-1.263241001
Tox2,-0.095916607,-1.262982642
Pdgfa,-0.042846499,-1.259991246
Prr16,-0.013440593,-1.259655618
Crocc,0.054029532,-1.256580885
Idi1,-0.058230932,-1.256113882
Kcnd2,-0.065847467,-1.252907487
Mef2c,-0.146004359,-1.25091127
Lrrc75a,-0.146493875,-1.24752019
Ybx2,0.006048733,-1.247259924
Hsd17b12,0.109318582,-1.245321473
Igfbp4,0.098455094,-1.244878069
Adamts18,0.024607137,-1.241447094
Jade2,0.187597738,-1.24029095
Acp1,-0.029789182,-1.239108442
Rab26,0.169066114,-1.238609367
Dpy19l1,-0.005794736,-1.237965839
Gnai1,-0.053733088,-1.237326772
Ramp3,-0.150398088,-1.233132573
Rps27,0.072171712,-1.231886245
Grid2,-0.165378161,-1.229574008
Arhgap32,-0.016782643,-1.228341669
Aldh2,0.272716699,-1.228336634
Dpm2,-0.126613902,-1.224340569
Cdkl4,-0.034684072,-1.223726155
Add3,-0.136808613,-1.22330513
Nudcd2,-0.185319153,-1.221051793
Cplx2,0.179845088,-1.220293787
Sgcz,-0.006899915,-1.220060922
Kcnip4,-0.399956706,-1.218552286
Platr31,-0.03245919,-1.216373254
Fam81a,0.016056012,-1.216270484
Fjx1,-0.106791326,-1.213272046
Chn1,-0.005624043,-1.2116595
Ccnd2,0.514527444,-1.211266509
Eid2b,-0.154441449,-1.210140827
Eif2s3y,0.030540829,-1.207751508
Ncam2,-0.187963718,-1.207713096
Hmgcr,-0.265090128,-1.20762494
Srd5a1,-0.050008502,-1.204601065
Bex1,0.047373332,-1.202907518
Gsg1,-0.230577451,-1.20249747
Klhl10,-0.168040087,-1.199662054
Rraga,0.004762448,-1.199649083
Gal3st1,0.021470166,-1.198039949
Hrh3,0.140799367,-1.195331496
Mrpl41,-0.051704728,-1.194813276
Syt16,-0.365782712,-1.190481912
Skida1,-0.095046285,-1.183852847
Impa2,-0.098480902,-1.17937819
Kcnt2,-0.449754259,-1.178997155
Rpa3,-0.212028829,-1.176037218
Haghl,0.10632242,-1.173871999
Opcml,-0.250951094,-1.167002468
Lrrtm1,0.002351094,-1.166302369
Dmd,-0.022957554,-1.165967718
Fbxw7,-0.277148942,-1.163749601
Kcnh3,-0.133554703,-1.163500212
Fam189a1,-0.002318254,-1.163349457
Kcnh7,-0.211403294,-1.162364326
Dipk2a,-0.122075849,-1.161862081
Sycp2,-0.012642479,-1.161746635
Sox2ot,0.274677787,-1.161668277
Pcdh11x,0.031988252,-1.160856335
Crim1,-0.052743316,-1.160655513
Trpm2,-0.065862539,-1.160404548
Maml3,-0.059881762,-1.159890188
Arl13a,-0.224161821,-1.154813803
Celf2,-0.100740031,-1.149624873
Fbxl15,0.020162495,-1.149395264
Rita1,0.067009986,-1.148170282
Hivep1,0.001028184,-1.146703783
Slc24a5,-0.077946797,-1.145637875
Gpc5,-0.113931069,-1.144952015
Omg,-0.097347218,-1.143184815
Chn1os3,-0.070292928,-1.141254548
Tomm20l,-0.320689287,-1.137543095
Cntn4,-0.019863775,-1.135601345
Slc4a4,0.13870692,-1.135453868
Slc2a8,-0.047676041,-1.131774676
E2f1,-0.09665522,-1.13025041
Icam5,0.13399961,-1.128703693
Egfl7,-0.247893762,-1.127596525
Elmo1,-0.186556183,-1.126791828
Mat2b,-0.475385605,-1.124134116
Gab3,-0.12238346,-1.123037546
Snhg4,-0.01661475,-1.119818407
Shisa6,-0.167236909,-1.11974791
Cdc42ep3,0.037838226,-1.119380469
Car7,0.0184115,-1.119141223
Tspan33,-0.081859376,-1.119092007
Smim1,-0.17743867,-1.119030271
Nr3c1,-0.052218715,-1.118692426
Chrna4,-0.094921347,-1.117130598
Slc16a2,-0.461698899,-1.116651979
Slc25a37,-0.002152518,-1.115345067
Prelid3a,0.076943151,-1.115005453
Doc2a,-0.09620429,-1.114552835
Bach2,0.455581623,-1.111153226
Ankrd13d,-0.12735763,-1.109780529
Mylip,-0.437986544,-1.1097131
P4ha1,0.14039655,-1.109007122
Tmem144,-0.024775917,-1.108115969
Wdr17,-0.084965654,-1.10734185
Grin1os,-0.051812478,-1.105861695
Thpo,0.073949619,-1.105355714
Tomm5,-0.304541246,-1.102542356
Tmem150a,-0.333708829,-1.101948996
Actn2,0.006236066,-1.101410339
Angptl3,0.076073433,-1.100930627
Sh3glb2,-0.042924128,-1.100844966
Npas2,-0.27257206,-1.100063284
