X,avg_log2FC,pct.1,pct.2,p_val_adj
Clca3a1,-0.676460798,0.02,0.04,1
Clca3a2,-0.91409032,0,0.003,1
Clca3b,-1.018271598,0,0.003,1
Clca4a,0.353654944,0.005,0.003,1
Clca4b,1.321102408,0.002,0,1
Clcc1,-0.550542303,0.16,0.211,1
Clcf1,0,0,0,1
Clcn1,0.053302345,0.065,0.061,1
Clcn2,0.187256811,0.239,0.206,1
Clcn3,0.102693022,0.716,0.654,1
Clcn4,-0.25768867,0.223,0.259,1
Clcn5,0.230081983,0.375,0.343,1
Clcn6,-0.024320596,0.298,0.317,1
Clcn7,0.22294718,0.26,0.222,1
Clcnka,-1.73152136,0.002,0.008,1
Clcnkb,0,0,0,1
Cldn1,-1.580204127,0.002,0.008,1
Cldn10,0.836652992,0.106,0.069,1
Cldn11,0.333438242,0.011,0.008,1
Cldn12,0.135148363,0.174,0.137,1
Cldn13,0,0,0,1
Cldn14,-0.82685432,0.002,0.003,1
Cldn15,-1.372981822,0,0.005,1
Cldn16,-1.480489531,0,0.008,1
Cldn17,0,0,0,1
Cldn18,0.270195447,0.032,0.021,1
Cldn19,0.256295864,0.002,0,1
Cldn2,0,0,0,1
Cldn20,0,0,0,1
Cldn22,0,0,0,1
Cldn23,0.155303396,0.005,0.003,1
Cldn24,0,0,0,1
Cldn3,0,0,0,1
Cldn34a,0,0,0,1
Cldn34b1,0,0,0,1
Cldn34b2,0,0,0,1
Cldn34b3,0,0,0,1
Cldn34b4,0,0,0,1
Cldn34c1,-0.59582729,0.196,0.269,1
Cldn34c2,0,0,0,1
Cldn34c3,0,0,0,1
Cldn34c4,0.510704431,0.002,0,1
Cldn34d,-0.518760029,0.002,0.003,1
Cldn34-ps,0,0,0,1
Cldn4,0,0,0,1
Cldn5,0,0,0,1
Cldn6,0,0,0,1
Cldn7,-0.089215908,0.005,0.005,1
Cldn8,0,0,0,1
Cldn9,0,0,0,1
Cldnd1,0.55351791,0.14,0.111,1
Cldnd2,0.118482236,0.002,0,1
Clec10a,0,0,0,1
Clec11a,-0.801965152,0.014,0.037,1
Clec12a,0,0,0,1
Clec12b,0,0,0,1
Clec14a,0,0,0,1
Clec16a,0.25413495,0.682,0.649,1
Clec18a,-1.235562382,0.009,0.021,1
Clec1a,0.434124156,0.027,0.026,1
Clec1b,0,0,0,1
Clec2d,0.332311953,0.016,0.018,1
Clec2e,0,0,0,1
Clec2f,0,0,0,1
Clec2g,0,0,0,1
Clec2h,0.351745804,0.002,0,1
Clec2i,0,0,0,1
Clec2l,-0.298194315,0.239,0.256,1
Clec3a,0,0,0,1
Clec3b,1.580933348,0.011,0.005,1
Clec4a1,0,0,0,1
Clec4a2,0,0,0,1
Clec4a3,0,0,0,1
Clec4a4,0,0,0,1
Clec4b1,0.712674858,0.002,0,1
Clec4b2,0,0,0,1
Clec4d,0,0,0,1
Clec4e,0,0,0,1
Clec4f,0,0,0,1
Clec4g,0.811597795,0.007,0,1
Clec4n,0,0,0,1
Clec5a,0,0,0,1
Clec7a,0,0,0,1
Clec9a,-1.256467022,0.007,0.024,1
Clgn,-0.061403045,0.35,0.364,1
Clhc1,-0.934571849,0.016,0.021,1
Clic1,0,0,0,1
Clic3,0,0,0,1
Clic4,-0.087972097,0.095,0.082,1
Clic5,-1.752981775,0.002,0.005,1
Clic6,0.091726291,0.036,0.042,1
Clint1,0.184097779,0.573,0.507,1
Clip1,0.020507605,0.767,0.778,1
Clip2,-0.093581458,0.325,0.327,1
Clip3,-0.220450094,0.293,0.327,1
Clip4,0.235015298,0.517,0.462,1
Clk1,-0.050858085,0.835,0.873,1
Clk2,-0.046339516,0.395,0.401,1
Clk3,-0.253138868,0.169,0.201,1
Clk4,0.185684084,0.79,0.72,1
Clmn,-0.22035587,0.016,0.011,1
Clmp,0.288473148,0.576,0.501,1
Cln3,0.141105277,0.178,0.137,1
Cln5,-0.046687403,0.077,0.084,1
Cln6,-1.271068796,0.016,0.034,1
Cln8,-0.277159128,0.025,0.029,1
Clnk,-0.303260904,0.149,0.172,1
Clnkos,0,0,0,1
Clns1a,-0.165580967,0.226,0.296,1
Clock,-0.262669544,0.639,0.662,1
Clp1,-0.730734597,0.045,0.055,1
Clpb,-0.098305995,0.278,0.296,1
Clpp,-0.088911179,0.447,0.517,1
Clps,-1.784190178,0,0.003,1
Clpsl2,0,0,0,1
Clptm1,0.282511232,0.368,0.332,1
Clptm1l,0.054742024,0.111,0.077,1
Clpx,0.293801378,0.454,0.375,1
Clrn1,1.141719971,0.002,0,1
Clrn2,-1.625118678,0.002,0.005,1
Clrn3,0,0,0,1
Clspn,2.1476095,0.009,0,1
Clstn1,-0.199193282,0.666,0.681,1
Clstn2,0.097196082,0.95,0.918,1
Clstn3,0.019109823,0.655,0.628,1
Clta,0.270874384,0.427,0.372,1
Cltb,0.00421378,0.582,0.58,1
Cltc,-0.120906531,0.772,0.773,1
Cltrn,0.158641774,0.002,0,1
Clu,0.240828814,0.172,0.174,1
Cluap1,0.427178179,0.278,0.216,1
Cluh,-0.267191673,0.271,0.314,1
Clvs1,0.131533999,0.878,0.836,1
Clvs2,0.198055053,0.603,0.549,1
Clybl,-0.140480115,0.235,0.237,1
Cma1,0,0,0,1
Cma2,0,0,0,1
Cmah,-0.624816652,0.023,0.029,1
Cmas,0.04887939,0.271,0.272,1
Cmbl,-1.003137149,0.009,0.016,1
Cmc1,-0.066482913,0.273,0.28,1
Cmc2,0.196680859,0.3,0.319,1
Cmc4,-0.309165566,0.074,0.069,1
Cmip,-0.006045536,0.799,0.828,1
Cmklr1,-1.297990475,0,0.003,1
Cmpk1,-0.152249435,0.26,0.306,1
Cmpk2,-0.392585918,0.043,0.058,1
Cmss1,-0.348140329,0.476,0.499,1
Cmtm1,0,0,0,1
Cmtm2a,0,0,0,1
Cmtm2b,0.100135326,0.002,0,1
Cmtm3,0.618753928,0.002,0,1
Cmtm4,0.173654961,0.395,0.367,1
Cmtm5,-0.405912989,0.002,0.003,1
Cmtm6,-0.067604243,0.032,0.024,1
Cmtm7,-0.334712798,0.007,0.011,1
