X,avg_log2FC,pct.1,pct.2,p_val_adj
Fxr2,0.310978642,0.509,0.372,0.001808934
Fxyd1,-0.881566922,0.014,0.022,1
Fxyd2,-0.800045119,0.006,0.009,1
Fxyd3,0,0,0,1
Fxyd4,0.252462134,0.207,0.133,0.439238778
Fxyd5,0.566713515,0.072,0.04,1
Fxyd6,3.59609005,0.061,0.005,5.5829E-21
Fxyd7,-0.752160201,0.078,0.097,1
Fyb,2.874437926,0.072,0.008,3.02601E-21
Fyb2,-0.573877143,0.228,0.289,1
Fyco1,0.398461614,0.448,0.312,0.000572379
Fyn,0.884943458,0.905,0.757,2.99528E-63
Fyttd1,0.056167654,0.653,0.557,1
Fzd1,2.865648603,0.001,0,1
Fzd10,2.505850049,0.001,0,1
Fzd10os,2.748133982,0.117,0.019,3.44899E-29
Fzd2,0,0,0,1
Fzd3,0.381276391,0.389,0.287,0.143027212
Fzd4,-0.889770504,0.008,0.014,1
Fzd5,3.387488169,0.003,0,1
Fzd6,2.646323014,0.014,0.002,0.198605481
Fzd7,0,0,0,1
Fzd8,2.641049207,0.004,0.001,1
Fzd9,0.059600154,0,0.001,1
Fzr1,0.325927302,0.136,0.091,1
G0s2,0,0,0,1
G2e3,0.255039065,0.393,0.28,0.184382468
G3bp1,0.093792344,0.457,0.381,1
G3bp2,-0.189744295,0.368,0.314,1
G6pc,2.43164098,0.001,0,1
G6pc2,2.415175636,0.001,0,1
G6pc3,0.962853658,0.069,0.028,0.006687147
G6pd2,0,0,0,1
G6pdx,0.510585377,0.099,0.064,1
Gaa,0.728297178,0.267,0.145,6.97668E-09
Gab1,3.781635688,0.042,0.003,2.66253E-14
Gab2,1.310490751,0.847,0.626,1.23975E-69
Gab3,-0.914476896,0.198,0.305,1.15523E-05
Gabarap,0.704218405,0.165,0.098,0.0251666
Gabarapl1,-0.489348694,0.276,0.279,1
Gabarapl2,0.158052213,0.39,0.288,1
Gabbr1,0.240064325,0.736,0.63,1
Gabbr2,-0.026986033,0.938,0.946,1
Gabpa,0.554396099,0.211,0.118,0.000103063
Gabpb1,0.25472004,0.311,0.235,1
Gabpb2,0.794957741,0.279,0.172,5.32227E-06
Gabra1,-1.006651975,0.438,0.635,2.56212E-29
Gabra2,-0.482625781,0.788,0.867,2.15151E-18
Gabra3,-0.705934794,0.535,0.655,1.22975E-15
Gabra4,-0.490548198,0.426,0.551,2.21134E-07
Gabra5,-1.535316265,0.311,0.612,1.02372E-54
Gabra6,2.623226885,0.004,0,1
Gabrb1,0.861385814,0.975,0.944,5.03581E-67
Gabrb2,-0.503398725,0.87,0.938,4.21594E-30
Gabrb3,-0.497240158,0.989,0.998,9.07044E-82
Gabrd,-1.68411731,0.069,0.182,1.30297E-09
Gabre,0,0,0,1
Gabrg1,-0.347937243,0.02,0.02,1
Gabrg2,-0.696569103,0.618,0.773,4.0562E-28
Gabrg3,0.570155027,0.986,0.993,1
Gabrp,1.288823349,0.004,0.002,1
Gabrq,0,0,0,1
Gabrr1,-0.625020797,0.001,0.004,1
Gabrr2,0.806416852,0.014,0.007,1
Gabrr3,1.992322122,0.02,0.003,0.033381548
Gad1,0.173128435,0.004,0.005,1
Gad1os,1.021742464,0.01,0.003,1
Gad2,-1.059856103,0.011,0.009,1
Gadd45a,1.95926435,0.042,0.007,8.68695E-09
Gadd45b,0.305638599,0.137,0.091,1
Gadd45g,2.61483469,0.158,0.021,3.27378E-46
Gadd45gip1,-1.188904968,0.031,0.047,1
Gadl1,0.356923041,0.011,0.009,1
Gak,0.766456355,0.649,0.445,1.32846E-19
Gal,7.191078355,0.057,0,6.5104E-32
Gal3st1,-0.189298531,0.047,0.05,1
Gal3st2,3.484527067,0.003,0,1
Gal3st2b,3.010503708,0.004,0,1
Gal3st2c,2.410882943,0.001,0,1
Gal3st3,-1.059309035,0.081,0.133,1
Gal3st4,-0.431505486,0.052,0.047,1
Galc,0.571767097,0.495,0.343,2.35901E-07
Gale,-1.567944571,0.044,0.098,0.080650542
Galk1,-0.576916493,0.066,0.082,1
Galk2,0.955347707,0.495,0.272,2.49371E-25
Galm,0.930485502,0.042,0.019,1
Galns,2.462779193,0.402,0.078,1.0876E-99
Galnt1,-0.428449695,0.595,0.645,0.000121165
Galnt10,0.132476016,0.242,0.223,1
Galnt11,-0.930221979,0.598,0.733,8.46083E-33
Galnt12,-1.267489037,0.069,0.153,6.86882E-05
Galnt13,-0.416959429,0.912,0.955,1.2678E-22
Galnt14,0.675663496,0.641,0.543,0.000308305
Galnt15,0.373423329,0,0.001,1
Galnt16,0.43783839,0.812,0.744,4.3242E-05
Galnt17,0.966900688,0.762,0.547,8.21664E-35
Galnt18,0.435787192,0.942,0.929,2.05053E-07
Galnt2,1.321887359,0.727,0.415,1.71236E-64
Galnt3,2.760351341,0.065,0.01,1.32674E-14
Galnt4,2.468757854,0.007,0.001,1
Galnt5,1.788245567,0.001,0,1
Galnt6,2.098682515,0.007,0.001,1
Galnt6os,0,0,0,1
Galnt7,0.223431458,0.56,0.487,1
Galnt9,0.494916402,0.866,0.815,1.01669E-09
Galntl5,-0.168072316,0.001,0.002,1
Galntl6,0.209755776,0.901,0.941,1
Galp,3.595884931,0.007,0,0.236976531
Galr1,-0.236202659,0,0.002,1
Galr2,0.843175678,0.003,0.002,1
Galr3,0,0,0,1
Galt,0.317308713,0.157,0.117,1
Gamt,-2.00595378,0.001,0.01,1
Gan,1.551496595,0.526,0.229,3.82845E-54
Ganab,0.083116545,0.3,0.233,1
Ganc,-0.128576159,0.188,0.179,1
Gap43,1.149510135,0.914,0.835,1.74869E-77
Gapdh,-0.265326355,0.279,0.251,1
Gapdh-ps15,0,0,0,1
Gapdhs,-1.192360652,0.089,0.136,1
Gapt,0,0,0,1
Gapvd1,0.613964052,0.864,0.738,1.09726E-27
Gar1,0.445116072,0.102,0.066,1
Garem1,0.192019667,0.767,0.708,1
Garem2,0,0,0,1
Garnl3,0.74106814,0.976,0.947,4.50361E-45
Gars,1.231240949,0.676,0.389,5.03597E-48
Gart,0.039790274,0.223,0.193,1
Gas1,0.254648277,0,0.001,1
Gas2,0.462561349,0.611,0.454,6.72689E-07
Gas2l1,-0.359188344,0.211,0.211,1
Gas2l2,0.871739975,0.007,0.003,1
Gas2l3,0.205779054,0.154,0.124,1
Gas5,0.287510994,0.458,0.331,0.004865601
Gas6,1.080679294,0.784,0.546,1.27914E-53
Gas7,-0.524787451,0.549,0.69,1.32076E-14
Gas8,-0.690789088,0.325,0.412,0.000114217
Gask1a,0.40520837,0.014,0.012,1
Gask1b,-3.284953146,0.011,0.085,1.43739E-07
Gast,0,0,0,1
Gata1,-0.718468413,0.006,0.007,1
Gata2,2.803237972,0.003,0,1
Gata3,0,0,0,1
Gata4,0.338172529,0.014,0.011,1
Gata5,0,0,0,1
Gata5os,0,0,0,1
Gata6,2.906324232,0.001,0,1
Gatad1,0.641662058,0.279,0.149,1.36533E-09
Gatad2a,0.579257531,0.461,0.302,1.83847E-08
Gatad2b,0.416965952,0.82,0.723,2.21927E-09
Gatb,1.08327614,0.266,0.118,2.25737E-17
Gatc,-0.126723325,0.064,0.049,1
Gatd1,0.049444468,0.059,0.043,1
Gatd3a,-0.691586033,0.042,0.05,1
Gatm,0.13312513,0.017,0.012,1
Gatsl2,0,0,0,1
Gatsl3,0,0,0,1
Gba,0.766725055,0.15,0.073,1.37952E-05
Gba2,-0.881175305,0.315,0.429,1.25122E-09
Gbe1,0.402833176,0.248,0.169,0.303393018
Gbf1,0.380012845,0.873,0.768,3.60315E-09
Gbgt1,0,0,0,1
Gbp10,0,0,0,1
Gbp11,0,0,0,1
Gbp2,3.929577949,0.003,0,1
Gbp2b,0,0,0,1
Gbp3,4.661214774,0.028,0,3.15208E-13
Gbp4,0,0,0,1
Gbp5,0.206032139,0.003,0.002,1
Gbp6,3.330127869,0.003,0,1
Gbp7,5.925506866,0.078,0.001,1.53111E-42
Gbp8,2.481192095,0.008,0.001,1
Gbp9,0,0,0,1
Gbx1,-2.204967385,0.014,0.031,1
Gbx2,0,0,0,1
Gc,1.251473315,0.004,0.002,1
Gca,-0.274200098,0.177,0.162,1
Gcat,0.69510647,0.014,0.007,1
Gcc1,-0.026398391,0.035,0.039,1
Gcc2,-0.132188263,0.711,0.681,1
Gcdh,-0.088155775,0.091,0.081,1
Gcfc2,0.170373193,0.276,0.207,1
Gcg,3.015211234,0.001,0,1
Gcgr,0,0,0,1
Gch1,2.393695384,0.02,0.003,0.003222022
Gchfr,1.540460089,0.004,0.003,1
Gck,-0.058243327,0.006,0.006,1
Gckr,1.759159484,0.004,0.002,1
Gclc,0.097396105,0.414,0.34,1
Gclm,0.484979289,0.397,0.279,0.001075537
Gcm1,-0.052508301,0.007,0.004,1
Gcm2,0.068695427,0,0.001,1
Gcn1,0.582434233,0.543,0.379,3.37011E-09
Gcn1l1,0,0,0,1
Gcnt1,0.250997968,0.001,0.002,1
Gcnt2,1.540836151,0.581,0.283,3.61077E-53
Gcnt3,0,0,0,1
Gcnt4,-0.756540575,0.197,0.255,1
Gcnt7,-0.479929799,0.308,0.352,1
Gcom1,0,0,0,1
Gcsam,0,0,0,1
Gcsh,-0.304204739,0.057,0.051,1
Gda,-0.913815329,0.595,0.79,2.45169E-46
Gdap1,-0.726579957,0.403,0.514,2.87908E-09
Gdap1l1,0.715214143,0.314,0.166,7.93759E-12
Gdap2,0.879191615,0.38,0.216,4.21011E-14
Gde1,0.102396046,0.458,0.38,1
Gdf10,0,0,0,1
Gdf11,-0.931972866,0.038,0.052,1
Gdf15,2.948896334,0.001,0,1
Gdf2,0,0,0,1
Gdf3,0,0,0,1
Gdf5,0,0,0,1
Gdf6,0,0,0,1
Gdf7,0,0,0,1
Gdf9,-0.942541024,0.011,0.023,1
Gdi1,-0.1347861,0.386,0.351,1
Gdi2,0.621020501,0.605,0.424,1.32439E-12
Gdnf,1.28885156,0.003,0.001,1
